,LineId,Date,Timestamp,EventCode,MessageType,Action,Delim,Content,EventId,EventTemplate,Key_0,Val_0,Key_1,Val_1,Key_2,Val_2,Key_3,Val_3
378,379,2019-08-23,22:46:47.801,9,INFO,armada.handlers.tiller,[-],[chart=ucp-barbican]: RUNNING: airship-ucp-barbican-test[00m,91dfef43,<*> RUNNING airship-ucp-barbican-test[00m,Not Present,chart=ucp-barbican, RUNNING airship-ucp-barbican-test,None,NotPresent,None,NotPresent,None
379,380,2019-08-23,22:46:57.155,9,INFO,armada.handlers.tiller,[-],[chart=ucp-barbican]: PASSED: airship-ucp-barbican-test[00m,a62b9abf,<*> PASSED airship-ucp-barbican-test[00m,Not Present,chart=ucp-barbican, PASSED airship-ucp-barbican-test,None,NotPresent,None,NotPresent,None
380,381,2019-08-23,22:46:57.311,9,INFO,armada.handlers.test,[-],[chart=ucp-barbican]: PASSED: airship-ucp-barbican[00m,6bb25d88,<*> PASSED airship-ucp-barbican[00m,Not Present,chart=ucp-barbican, PASSED airship-ucp-barbican,None,NotPresent,None,NotPresent,None
381,382,2019-08-23,22:47:05.638,9,INFO,armada.handlers.chart_deploy,[-],"[chart=ucp-deckhand]: Install completed with results from Tiller: {'namespace': 'ucp', 'release': 'airship-ucp-deckhand', 'description': 'Install complete', 'version': 1, 'status': 'DEPLOYED'}[00m",fcf3f0a6,<*> Install completed with results from Tiller {'namespace' <*> 'release' <*> 'description' 'Install complete' 'version' 1 'status' 'DEPLOYED'}[00m,Not Present,chart=ucp-deckhand, Install completed with results from Tiller {'namespace' ,"'ucp',", 'release' ,"'airship-ucp-deckhand',", 'description' 'Install complete' 'version' 1 'status' 'DEPLOYED'},None
382,383,2019-08-23,22:47:05.638,9,INFO,armada.handlers.wait,[-],"[chart=ucp-deckhand]: Waiting for resource type=job, namespace=ucp labels=release_group=airship-ucp-deckhand required=False for 520s[00m",8d85a441,<*> Waiting for resource type job namespace <*> labels release_group <*> required False for <*>,Not Present,chart=ucp-deckhand, Waiting for resource type job namespace ,ucp, labels release_group ,airship-ucp-deckhand, required False for ,520s
383,384,2019-08-23,22:47:05.649,9,INFO,armada.handlers.wait,[-],"[chart=ucp-deckhand]: Waiting for resource type=pod, namespace=ucp labels=release_group=airship-ucp-deckhand required=True for 520s[00m",4984b27b,<*> Waiting for resource type pod namespace <*> labels release_group <*> required True for <*>,Not Present,chart=ucp-deckhand, Waiting for resource type pod namespace ,ucp, labels release_group ,airship-ucp-deckhand, required True for ,520s
384,385,2019-08-23,22:47:18.846,9,INFO,armada.handlers.test,[-],[chart=ucp-deckhand]: RUNNING: airship-ucp-deckhand tests with timeout=300s[00m,099b2701,<*> RUNNING <*> tests with timeout 300s[00m,Not Present,chart=ucp-deckhand, RUNNING ,airship-ucp-deckhand, tests with timeout 300s,None,NotPresent,None
385,386,2019-08-23,22:47:18.866,9,INFO,armada.handlers.tiller,[-],"[chart=ucp-deckhand]: Running Helm test: release=airship-ucp-deckhand, timeout=300[00m",f26d9761,<*> Running Helm test release <*> timeout 300[00m,Not Present,chart=ucp-deckhand, Running Helm test release ,"airship-ucp-deckhand,", timeout 300,None,NotPresent,None
386,387,2019-08-23,22:47:18.882,9,INFO,armada.handlers.tiller,[-],[chart=ucp-deckhand]: RUNNING: airship-ucp-deckhand-deckhand-api-test[00m,689ab5c8,<*> RUNNING airship-ucp-deckhand-deckhand-api-test[00m,Not Present,chart=ucp-deckhand, RUNNING airship-ucp-deckhand-deckhand-api-test,None,NotPresent,None,NotPresent,None
387,388,2019-08-23,22:47:21.143,9,INFO,armada.handlers.tiller,[-],[chart=ucp-deckhand]: PASSED: airship-ucp-deckhand-deckhand-api-test[00m,55aa6dde,<*> PASSED airship-ucp-deckhand-deckhand-api-test[00m,Not Present,chart=ucp-deckhand, PASSED airship-ucp-deckhand-deckhand-api-test,None,NotPresent,None,NotPresent,None
