LineId,Date,Timestamp,EventCode,MessageType,Content,EventId,EventTemplate,ParameterList
149,2019-08-23,22:26:17.039,9,INFO,armada.handlers.test [-] [chart=kubernetes-apiserver]: PASSED: airship-kubernetes-apiserver[00m,4ab8023c,armada.handlers.test <*> <*> PASSED <*>,"['[-] [chart=kubernetes-apiserver]:', 'airship-kubernetes-apiserver\x1b[00m']"
150,2019-08-23,22:26:17.040,9,INFO,armada.handlers.armada [-] All Charts applied in ChartGroup kubernetes-core.[00m,270e1445,armada.handlers.armada <*> All Charts applied in ChartGroup <*>,"['[-]', 'kubernetes-core.\x1b[00m']"
151,2019-08-23,22:26:17.040,9,INFO,"armada.handlers.armada [-] Processing ChartGroup: ingress-kube-system (Ingress for the site), sequenced=False[00m",3252bb34,armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>,"['[-]', 'ingress-kube-system (Ingress for the site),', 'False\x1b[00m']"
152,2019-08-23,22:26:17.041,9,INFO,"armada.handlers.chart_deploy [-] [chart=ingress-kube-system]: Processing Chart, release=airship-ingress-kube-system[00m",09280669,armada.handlers.chart_deploy <*> <*> Processing Chart release <*>,"['[-] [chart=ingress-kube-system]:', 'airship-ingress-kube-system\x1b[00m']"
153,2019-08-23,22:26:17.041,9,INFO,"armada.handlers.chart_deploy [-] [chart=ingress-kube-system]: known: [], release_name: airship-ingress-kube-system[00m",59221af6,armada.handlers.chart_deploy <*> <*> known <*> release_name airship-ingress-kube-system[00m,"['[-] [chart=ingress-kube-system]:', '[],']"
154,2019-08-23,22:26:17.041,9,INFO,armada.handlers.chartbuilder [-] [chart=ingress-kube-system]: Building dependency chart ingress-kube-system-htk for release ingress-kube-system.[00m,70c57d57,armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>,"['[-] [chart=ingress-kube-system]:', 'ingress-kube-system-htk', 'ingress-kube-system.\x1b[00m']"
155,2019-08-23,22:26:17.051,9,INFO,"armada.handlers.chart_deploy [-] [chart=ingress-kube-system]: Installing release airship-ingress-kube-system in namespace kube-system, wait=True, timeout=300s[00m",3e56065d,armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>,"['[-] [chart=ingress-kube-system]:', 'airship-ingress-kube-system', 'kube-system,', 'True,', '300s\x1b[00m']"
156,2019-08-23,22:26:17.053,9,INFO,"armada.handlers.tiller [-] [chart=ingress-kube-system]: Helm install release: wait=True, timeout=300[00m",e1e364e7,armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>,"['[-] [chart=ingress-kube-system]:', 'True,', '300\x1b[00m']"
157,2019-08-23,22:26:19.463,9,INFO,"armada.handlers.chart_deploy [-] [chart=ingress-kube-system]: Install completed with results from Tiller: {'namespace': 'kube-system', 'release': 'airship-ingress-kube-system', 'description': 'Install complete', 'version': 1, 'status': 'DEPLOYED'}[00m",68d3ee89,armada.handlers.chart_deploy <*> <*> Install completed with results from Tiller {'namespace' <*> 'release' <*> 'description' 'Install complete' 'version' 1 'status' 'DEPLOYED'}[00m,"['[-] [chart=ingress-kube-system]:', ""'kube-system',"", ""'airship-ingress-kube-system',""]"
158,2019-08-23,22:26:19.463,9,INFO,"armada.handlers.wait [-] [chart=ingress-kube-system]: Waiting for resource type=job, namespace=kube-system labels=release_group=airship-ingress-kube-system required=False for 298s[00m",29249cd8,armada.handlers.wait <*> <*> Waiting for resource type <*> namespace <*> labels release_group <*> required <*> for <*>,"['[-] [chart=ingress-kube-system]:', 'job,', 'kube-system', 'airship-ingress-kube-system', 'False', '298s\x1b[00m']"
159,2019-08-23,22:26:19.467,9,INFO,"armada.handlers.wait [-] [chart=ingress-kube-system]: Waiting for resource type=pod, namespace=kube-system labels=release_group=airship-ingress-kube-system required=True for 298s[00m",29249cd8,armada.handlers.wait <*> <*> Waiting for resource type <*> namespace <*> labels release_group <*> required <*> for <*>,"['[-] [chart=ingress-kube-system]:', 'pod,', 'kube-system', 'airship-ingress-kube-system', 'True', '298s\x1b[00m']"
160,2019-08-23,22:26:55.027,9,INFO,armada.handlers.test [-] [chart=ingress-kube-system]: RUNNING: airship-ingress-kube-system tests with timeout=300s[00m,fb8fd46c,armada.handlers.test <*> <*> RUNNING <*> tests with timeout 300s[00m,"['[-] [chart=ingress-kube-system]:', 'airship-ingress-kube-system']"
161,2019-08-23,22:26:55.035,9,INFO,"armada.handlers.tiller [-] [chart=ingress-kube-system]: Running Helm test: release=airship-ingress-kube-system, timeout=300[00m",33125623,armada.handlers.tiller <*> <*> Running Helm test release <*> timeout 300[00m,"['[-] [chart=ingress-kube-system]:', 'airship-ingress-kube-system,']"
162,2019-08-23,22:26:55.046,9,INFO,armada.handlers.tiller [-] [chart=ingress-kube-system]: No Tests Found[00m,5953396f,armada.handlers.tiller <*> <*> No Tests Found[00m,['[-] [chart=ingress-kube-system]:']
163,2019-08-23,22:26:55.111,9,INFO,armada.handlers.test [-] [chart=ingress-kube-system]: PASSED: airship-ingress-kube-system[00m,4ab8023c,armada.handlers.test <*> <*> PASSED <*>,"['[-] [chart=ingress-kube-system]:', 'airship-ingress-kube-system\x1b[00m']"
164,2019-08-23,22:26:55.112,9,INFO,armada.handlers.armada [-] All Charts applied in ChartGroup ingress-kube-system.[00m,270e1445,armada.handlers.armada <*> All Charts applied in ChartGroup <*>,"['[-]', 'ingress-kube-system.\x1b[00m']"
165,2019-08-23,22:26:55.112,9,INFO,"armada.handlers.armada [-] Processing ChartGroup: ucp-ceph (Ceph Storage), sequenced=True[00m",3252bb34,armada.handlers.armada <*> Processing ChartGroup <*> <*> sequenced <*>,"['[-]', 'ucp-ceph (Ceph Storage),', 'True\x1b[00m']"
166,2019-08-23,22:26:55.112,9,INFO,"armada.handlers.chart_deploy [-] [chart=ucp-ceph-ingress]: Processing Chart, release=airship-ucp-ceph-ingress[00m",09280669,armada.handlers.chart_deploy <*> <*> Processing Chart release <*>,"['[-] [chart=ucp-ceph-ingress]:', 'airship-ucp-ceph-ingress\x1b[00m']"
167,2019-08-23,22:26:55.112,9,INFO,"armada.handlers.chart_deploy [-] [chart=ucp-ceph-ingress]: known: [], release_name: airship-ucp-ceph-ingress[00m",02e2af27,armada.handlers.chart_deploy <*> <*> known <*> release_name airship-ucp-ceph-ingress[00m,"['[-] [chart=ucp-ceph-ingress]:', '[],']"
168,2019-08-23,22:26:55.112,9,INFO,armada.handlers.chartbuilder [-] [chart=ucp-ceph-ingress]: Building dependency chart ucp-ingress-htk for release ucp-ceph-ingress.[00m,70c57d57,armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>,"['[-] [chart=ucp-ceph-ingress]:', 'ucp-ingress-htk', 'ucp-ceph-ingress.\x1b[00m']"
169,2019-08-23,22:26:55.122,9,INFO,"armada.handlers.chart_deploy [-] [chart=ucp-ceph-ingress]: Installing release airship-ucp-ceph-ingress in namespace ceph, wait=True, timeout=300s[00m",3e56065d,armada.handlers.chart_deploy <*> <*> Installing release <*> in namespace <*> wait <*> timeout <*>,"['[-] [chart=ucp-ceph-ingress]:', 'airship-ucp-ceph-ingress', 'ceph,', 'True,', '300s\x1b[00m']"
170,2019-08-23,22:26:55.124,9,INFO,"armada.handlers.tiller [-] [chart=ucp-ceph-ingress]: Helm install release: wait=True, timeout=300[00m",e1e364e7,armada.handlers.tiller <*> <*> Helm install release wait <*> timeout <*>,"['[-] [chart=ucp-ceph-ingress]:', 'True,', '300\x1b[00m']"
171,2019-08-23,22:27:07.681,9,INFO,"armada.handlers.chart_deploy [-] [chart=ucp-ceph-ingress]: Install completed with results from Tiller: {'namespace': 'ceph', 'release': 'airship-ucp-ceph-ingress', 'description': 'Install complete', 'version': 1, 'status': 'DEPLOYED'}[00m",68d3ee89,armada.handlers.chart_deploy <*> <*> Install completed with results from Tiller {'namespace' <*> 'release' <*> 'description' 'Install complete' 'version' 1 'status' 'DEPLOYED'}[00m,"['[-] [chart=ucp-ceph-ingress]:', ""'ceph',"", ""'airship-ucp-ceph-ingress',""]"
172,2019-08-23,22:27:07.681,9,INFO,"armada.handlers.wait [-] [chart=ucp-ceph-ingress]: Waiting for resource type=job, namespace=ceph labels=release_group=airship-ucp-ceph-ingress required=False for 287s[00m",29249cd8,armada.handlers.wait <*> <*> Waiting for resource type <*> namespace <*> labels release_group <*> required <*> for <*>,"['[-] [chart=ucp-ceph-ingress]:', 'job,', 'ceph', 'airship-ucp-ceph-ingress', 'False', '287s\x1b[00m']"
173,2019-08-23,22:27:07.684,9,INFO,"armada.handlers.wait [-] [chart=ucp-ceph-ingress]: Waiting for resource type=pod, namespace=ceph labels=release_group=airship-ucp-ceph-ingress required=True for 287s[00m",29249cd8,armada.handlers.wait <*> <*> Waiting for resource type <*> namespace <*> labels release_group <*> required <*> for <*>,"['[-] [chart=ucp-ceph-ingress]:', 'pod,', 'ceph', 'airship-ucp-ceph-ingress', 'True', '287s\x1b[00m']"
174,2019-08-23,22:27:08.961,9,INFO,armada.handlers.test [-] [chart=ucp-ceph-ingress]: RUNNING: airship-ucp-ceph-ingress tests with timeout=300s[00m,fb8fd46c,armada.handlers.test <*> <*> RUNNING <*> tests with timeout 300s[00m,"['[-] [chart=ucp-ceph-ingress]:', 'airship-ucp-ceph-ingress']"
175,2019-08-23,22:27:08.970,9,INFO,"armada.handlers.tiller [-] [chart=ucp-ceph-ingress]: Running Helm test: release=airship-ucp-ceph-ingress, timeout=300[00m",33125623,armada.handlers.tiller <*> <*> Running Helm test release <*> timeout 300[00m,"['[-] [chart=ucp-ceph-ingress]:', 'airship-ucp-ceph-ingress,']"
176,2019-08-23,22:27:08.979,9,INFO,armada.handlers.tiller [-] [chart=ucp-ceph-ingress]: No Tests Found[00m,5953396f,armada.handlers.tiller <*> <*> No Tests Found[00m,['[-] [chart=ucp-ceph-ingress]:']
177,2019-08-23,22:27:09.052,9,INFO,armada.handlers.test [-] [chart=ucp-ceph-ingress]: PASSED: airship-ucp-ceph-ingress[00m,4ab8023c,armada.handlers.test <*> <*> PASSED <*>,"['[-] [chart=ucp-ceph-ingress]:', 'airship-ucp-ceph-ingress\x1b[00m']"
178,2019-08-23,22:27:09.052,9,INFO,"armada.handlers.chart_deploy [-] [chart=ucp-ceph-mon]: Processing Chart, release=airship-ucp-ceph-mon[00m",09280669,armada.handlers.chart_deploy <*> <*> Processing Chart release <*>,"['[-] [chart=ucp-ceph-mon]:', 'airship-ucp-ceph-mon\x1b[00m']"
179,2019-08-23,22:27:09.052,9,INFO,"armada.handlers.chart_deploy [-] [chart=ucp-ceph-mon]: known: [], release_name: airship-ucp-ceph-mon[00m",301f7dc7,armada.handlers.chart_deploy <*> <*> known <*> release_name airship-ucp-ceph-mon[00m,"['[-] [chart=ucp-ceph-mon]:', '[],']"
180,2019-08-23,22:27:09.052,9,INFO,armada.handlers.chartbuilder [-] [chart=ucp-ceph-mon]: Building dependency chart ceph-htk for release ucp-ceph-mon.[00m,70c57d57,armada.handlers.chartbuilder <*> <*> Building dependency chart <*> for release <*>,"['[-] [chart=ucp-ceph-mon]:', 'ceph-htk', 'ucp-ceph-mon.\x1b[00m']"
